Episode 100, Reward: 1768.4305471320883, Optimal Reward: 2662.0155239300216
Episode 300, Reward: 1775.9220535314598, Optimal Reward: 2662.0155239300216
Episode 400, Reward: 1987.762484244966, Optimal Reward: 2662.0155239300216
Episode 600, Reward: 2056.6330550436205, Optimal Reward: 2662.0155239300216
Episode 2800, Reward: 2061.731368921206, Optimal Reward: 2662.0155239300216
Episode 2900, Reward: 2082.1602341253792, Optimal Reward: 2662.0155239300216
Episode 9500, Reward: 2101.7979336535923, Optimal Reward: 2662.0155239300216
Episode 30000, Reward: 1998.573643296117******BYEEEEEEEEEEE**********
Rewards List:
