Episode 100, Reward: 1028.091636884705, Optimal Reward: 11065.348052435662
Episode 200, Reward: 2241.685651441302, Optimal Reward: 11065.348052435662
Episode 400, Reward: 2740.91467270598, Optimal Reward: 11065.348052435662
Episode 500, Reward: 2974.9212940251246, Optimal Reward: 11065.348052435662
Episode 600, Reward: 3244.011977466148, Optimal Reward: 11065.348052435662
Episode 700, Reward: 3760.4556232795017, Optimal Reward: 11065.348052435662
Episode 800, Reward: 3902.7901391157343, Optimal Reward: 11065.348052435662
Episode 1000, Reward: 3961.3411758975694, Optimal Reward: 11065.348052435662
Episode 1100, Reward: 4032.1615080341594, Optimal Reward: 11065.348052435662
Episode 1400, Reward: 4362.193422438338, Optimal Reward: 11065.348052435662
Episode 1500, Reward: 4666.86766635737, Optimal Reward: 11065.348052435662
Episode 1600, Reward: 5048.436569059649, Optimal Reward: 11065.348052435662
Episode 1700, Reward: 5363.788496479756, Optimal Reward: 11065.348052435662
Episode 1800, Reward: 5380.613447306883, Optimal Reward: 11065.348052435662
Episode 2300, Reward: 5475.921651099155, Optimal Reward: 11065.348052435662
Episode 2400, Reward: 5651.547850721802, Optimal Reward: 11065.348052435662
Episode 2500, Reward: 5658.526436191722, Optimal Reward: 11065.348052435662
Episode 2600, Reward: 5726.2008613240105, Optimal Reward: 11065.348052435662
Episode 2700, Reward: 5915.765326117782, Optimal Reward: 11065.348052435662
Episode 2800, Reward: 6032.3977098588175, Optimal Reward: 11065.348052435662
Episode 2900, Reward: 6165.817833985375, Optimal Reward: 11065.348052435662
Episode 3000, Reward: 6383.48960339821, Optimal Reward: 11065.348052435662
Episode 3500, Reward: 6543.676970926899, Optimal Reward: 11065.348052435662
Episode 3700, Reward: 6614.81940893307, Optimal Reward: 11065.348052435662
Episode 4000, Reward: 6655.058437366004, Optimal Reward: 11065.348052435662
Episode 4100, Reward: 6699.659961003528, Optimal Reward: 11065.348052435662
Episode 4200, Reward: 7137.208983127663, Optimal Reward: 11065.348052435662
Episode 4300, Reward: 7142.8046546940095, Optimal Reward: 11065.348052435662
Episode 6200, Reward: 7151.210277937685, Optimal Reward: 11065.348052435662
Episode 6300, Reward: 7185.022670949847, Optimal Reward: 11065.348052435662
Episode 6400, Reward: 7268.127025944246, Optimal Reward: 11065.348052435662
Episode 6500, Reward: 7548.044780739307, Optimal Reward: 11065.348052435662
Episode 6600, Reward: 7724.070772347087, Optimal Reward: 11065.348052435662
Episode 6700, Reward: 7816.370851568, Optimal Reward: 11065.348052435662
Episode 6800, Reward: 7845.749370465982, Optimal Reward: 11065.348052435662
Episode 7900, Reward: 7935.421268541926, Optimal Reward: 11065.348052435662
Episode 8000, Reward: 8246.070451724823, Optimal Reward: 11065.348052435662
Episode 8300, Reward: 8308.20273903214, Optimal Reward: 11065.348052435662
Episode 8600, Reward: 8501.904070930748, Optimal Reward: 11065.348052435662
Episode 8700, Reward: 8576.447252808075, Optimal Reward: 11065.348052435662
Episode 8900, Reward: 8846.064564114047, Optimal Reward: 11065.348052435662
Episode 9000, Reward: 8849.458933122729, Optimal Reward: 11065.348052435662
Episode 9100, Reward: 9004.32142287405, Optimal Reward: 11065.348052435662
Episode 9200, Reward: 9025.991024285908, Optimal Reward: 11065.348052435662
Episode 9300, Reward: 9043.25471668039, Optimal Reward: 11065.348052435662
Episode 9400, Reward: 9102.972588762566, Optimal Reward: 11065.348052435662
Episode 9500, Reward: 9238.623466511011, Optimal Reward: 11065.348052435662
Episode 9800, Reward: 9488.351740271793, Optimal Reward: 11065.348052435662
Episode 9900, Reward: 9653.239985308745, Optimal Reward: 11065.348052435662
Episode 10000, Reward: 9729.894880655513, Optimal Reward: 11065.348052435662
Episode 10100, Reward: 9834.036707915107, Optimal Reward: 11065.348052435662
Episode 10200, Reward: 9849.389807841068, Optimal Reward: 11065.348052435662
Episode 10300, Reward: 9947.626219604243, Optimal Reward: 11065.348052435662
Episode 10400, Reward: 9953.817914418916, Optimal Reward: 11065.348052435662
Episode 10500, Reward: 10094.6927113454, Optimal Reward: 11065.348052435662
Episode 10500, Reward: 10094.6927113454******FLAG REACHED**********
Episode 10600, Reward: 10212.236549619964, Optimal Reward: 11065.348052435662
Episode 10700, Reward: 10235.489402018567, Optimal Reward: 11065.348052435662
Episode 10800, Reward: 10239.214136394963, Optimal Reward: 11065.348052435662
Episode 10900, Reward: 10247.637385536664, Optimal Reward: 11065.348052435662
Episode 11000, Reward: 10249.41730454636, Optimal Reward: 11065.348052435662
Episode 11100, Reward: 10292.390254302107, Optimal Reward: 11065.348052435662
Episode 12200, Reward: 9870.184370120882******BYEEEEEEEEEEE**********
Rewards List:
