Episode 100, Reward: 262.1682460093906, Optimal Reward: 2795.5468310515325
Episode 200, Reward: 436.1311195094794, Optimal Reward: 2795.5468310515325
Episode 300, Reward: 674.4486186077138, Optimal Reward: 2795.5468310515325
Episode 400, Reward: 968.8611349871629, Optimal Reward: 2795.5468310515325
Episode 500, Reward: 1112.2421196053144, Optimal Reward: 2795.5468310515325
Episode 600, Reward: 1205.2799915479561, Optimal Reward: 2795.5468310515325
Episode 700, Reward: 1223.6240221914386, Optimal Reward: 2795.5468310515325
Episode 900, Reward: 1276.005135931157, Optimal Reward: 2795.5468310515325
Episode 1000, Reward: 1297.1265554911515, Optimal Reward: 2795.5468310515325
Episode 1100, Reward: 1367.6100035448173, Optimal Reward: 2795.5468310515325
Episode 1200, Reward: 1398.4175014991729, Optimal Reward: 2795.5468310515325
Episode 2000, Reward: 1452.6370410786758, Optimal Reward: 2795.5468310515325
Episode 2100, Reward: 1550.1659403792, Optimal Reward: 2795.5468310515325
Episode 2200, Reward: 1620.5188982003115, Optimal Reward: 2795.5468310515325
Episode 2300, Reward: 1705.02713830207, Optimal Reward: 2795.5468310515325
Episode 2400, Reward: 1815.4201005077532, Optimal Reward: 2795.5468310515325
Episode 2900, Reward: 1834.9320229611621, Optimal Reward: 2795.5468310515325
Episode 3000, Reward: 1853.3440966856147, Optimal Reward: 2795.5468310515325
Episode 3100, Reward: 1902.801821492285, Optimal Reward: 2795.5468310515325
Episode 3200, Reward: 1951.516826139246, Optimal Reward: 2795.5468310515325
Episode 3300, Reward: 1995.24160699013, Optimal Reward: 2795.5468310515325
Episode 4600, Reward: 2023.1569637848793, Optimal Reward: 2795.5468310515325
Episode 5000, Reward: 2049.7408987105096, Optimal Reward: 2795.5468310515325
Episode 5100, Reward: 2051.8042446280897, Optimal Reward: 2795.5468310515325
Episode 5200, Reward: 2139.3191339159957, Optimal Reward: 2795.5468310515325
Episode 5500, Reward: 2197.894277331118, Optimal Reward: 2795.5468310515325
Episode 6300, Reward: 2199.9148212369255, Optimal Reward: 2795.5468310515325
Episode 6400, Reward: 2217.97631561283, Optimal Reward: 2795.5468310515325
Episode 6500, Reward: 2244.5778017941966, Optimal Reward: 2795.5468310515325
Episode 6600, Reward: 2254.9060538312992, Optimal Reward: 2795.5468310515325
Episode 6800, Reward: 2269.402313907598, Optimal Reward: 2795.5468310515325
Episode 6900, Reward: 2286.976033180697, Optimal Reward: 2795.5468310515325
Episode 7000, Reward: 2309.237825548474, Optimal Reward: 2795.5468310515325
Episode 7100, Reward: 2345.316288647936, Optimal Reward: 2795.5468310515325
Episode 7400, Reward: 2374.0315471624954, Optimal Reward: 2795.5468310515325
Episode 7700, Reward: 2396.2393598480835, Optimal Reward: 2795.5468310515325
Episode 8800, Reward: 2429.156627925965, Optimal Reward: 2795.5468310515325
Episode 9000, Reward: 2451.974997937967, Optimal Reward: 2795.5468310515325
Episode 9100, Reward: 2508.064594383225, Optimal Reward: 2795.5468310515325
Episode 9300, Reward: 2543.947943070625, Optimal Reward: 2795.5468310515325
Episode 9300, Reward: 2543.947943070625******FLAG REACHED**********
Episode 9400, Reward: 2572.274195204985, Optimal Reward: 2795.5468310515325
Episode 9500, Reward: 2591.1976394215644, Optimal Reward: 2795.5468310515325
Episode 10600, Reward: 2615.473069519315, Optimal Reward: 2795.5468310515325
Episode 11000, Reward: 2623.902113417865, Optimal Reward: 2795.5468310515325
Episode 11300, Reward: 2632.3310033482253, Optimal Reward: 2795.5468310515325
Episode 11400, Reward: 2649.6145833264154, Optimal Reward: 2795.5468310515325
Episode 11700, Reward: 2667.727280483953, Optimal Reward: 2795.5468310515325
Episode 11800, Reward: 2675.046083556054, Optimal Reward: 2795.5468310515325
Episode 12900, Reward: 2660.6704163512795******BYEEEEEEEEEEE**********
Rewards List:
